"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"349947";"32";"119489";"35.86";"1";"0";"G BY GIORGIO de Giorgio Beverly Hills 119489";"Eau de Parfum Vaporisateur 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"G BY GIORGIO";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119489.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349947";"119489";"14"
"3499471";"32";"1194891";"35.86";"1";"0";"G BY GIORGIO de Giorgio Beverly Hills 1194891";"Eau de Parfum spray 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"G BY GIORGIO";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119489.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349947";"1194891";"14"
"349946";"50";"120961";"29.4";"1";"0";"G BY GIORGIO de Giorgio Beverly Hills 120961";"Eau de Parfum Vaporisateur 45 ml";"0";"Giorgio Beverly Hills";"Femmes";"G BY GIORGIO";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/120961.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349946";"120961";"14"
"3499461";"50";"1209611";"29.4";"1";"0";"G BY GIORGIO de Giorgio Beverly Hills 1209611";"Eau de Parfum spray 45 ml";"0";"Giorgio Beverly Hills";"Femmes";"G BY GIORGIO";"45 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/120961.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349946";"1209611";"14"
"353036";"3";"118500";"39.09";"1";"0";"WINGS de Giorgio Beverly Hills 118500";"Eau de Toilette Vaporisateur 90 ml & Lotion pour le corps 100 ml";"0";"Giorgio Beverly Hills";"Femmes";"WINGS";"100 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/118500.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353036";"118500";"14"
"3530361";"3";"1185001";"39.09";"1";"0";"WINGS de Giorgio Beverly Hills 1185001";"Eau de Toilette spray 90 ml & Lotion pour le corps 100 ml";"0";"Giorgio Beverly Hills";"Femmes";"WINGS";"100 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/118500.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353036";"1185001";"14"
"353034";"50";"116711";"33.44";"1";"0";"WINGS de Giorgio Beverly Hills 116711";"Eau de Toilette Vaporisateur 100 ml";"0";"Giorgio Beverly Hills";"Hommes";"WINGS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/116711.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353034";"116711";"14"
"3530341";"50";"1167111";"33.44";"1";"0";"WINGS de Giorgio Beverly Hills 1167111";"Eau de Toilette spray 100 ml";"0";"Giorgio Beverly Hills";"Hommes";"WINGS";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/116711.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353034";"1167111";"14"
"353033";"50";"123397";"33.71";"1";"0";"WINGS de Giorgio Beverly Hills 123397";"Eau de Toilette Vaporisateur 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"WINGS";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123397.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353033";"123397";"14"
"3530331";"50";"1233971";"33.71";"1";"0";"WINGS de Giorgio Beverly Hills 1233971";"Eau de Toilette spray 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"WINGS";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/123397.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353033";"1233971";"14"
"353032";"33";"126430";"32.07";"1";"0";"WINGS de Giorgio Beverly Hills 126430";"Eau de Toilette Vaporisateur 50 ml";"0";"Giorgio Beverly Hills";"Hommes";"WINGS";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126430.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353032";"126430";"14"
"3530321";"33";"1264301";"32.07";"1";"0";"WINGS de Giorgio Beverly Hills 1264301";"Eau de Toilette spray 50 ml";"0";"Giorgio Beverly Hills";"Hommes";"WINGS";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126430.jpg";"http://www.parfumreduc.com/product_info.php?products_id=353032";"1264301";"14"
"352168";"50";"120251";"27.78";"1";"0";"RED de Giorgio Beverly Hills 120251";"Eau de Toilette Vaporisateur 30 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/120251.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352168";"120251";"14"
"3521681";"50";"1202511";"27.78";"1";"0";"RED de Giorgio Beverly Hills 1202511";"Eau de Toilette spray 30 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"30 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/120251.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352168";"1202511";"14"
"352169";"9";"125895";"34.85";"1";"0";"RED de Giorgio Beverly Hills 125895";"Eau de Toilette Vaporisateur 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/125895.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352169";"125895";"14"
"3521691";"9";"1258951";"34.85";"1";"0";"RED de Giorgio Beverly Hills 1258951";"Eau de Toilette spray 50 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/125895.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352169";"1258951";"14"
"352170";"50";"121809";"39.09";"1";"0";"RED de Giorgio Beverly Hills 121809";"Eau de Toilette Vaporisateur 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/121809.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352170";"121809";"14"
"3521701";"50";"1218091";"39.09";"1";"0";"RED de Giorgio Beverly Hills 1218091";"Eau de Toilette spray 90 ml";"0";"Giorgio Beverly Hills";"Femmes";"RED";"90 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/121809.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352170";"1218091";"14"
"352172";"50";"124858";"32.09";"1";"0";"RED de Giorgio Beverly Hills 124858";"Eau de Toilette Vaporisateur 100 ml";"0";"Giorgio Beverly Hills";"Hommes";"RED";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/124858.jpg";"http://www.parfumreduc.com/product_info.php?products_id=352172";"124858";"14"
